"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority"
"257474";"S";"de:01004:66212";"de:01004:66212";"Neumünster Tennishalle";"54,103887";"9,985466";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257475";"Q";"de:01004:66212::1";"de:01004:66212";"Neumünster Tennishalle";"54,103887";"9,985466";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257476";"Q";"de:01004:66212::2";"de:01004:66212";"Neumünster Tennishalle";"54,104002";"9,985439";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257477";"S";"de:01004:66213";"de:01004:66213";"Neumünster Tierpark";"54,089915";"9,946376";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257478";"Q";"de:01004:66213::1";"de:01004:66213";"Neumünster Tierpark";"54,089456";"9,947058";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257479";"S";"de:01004:66214";"de:01004:66214";"Neumünster Tonderner Straße";"54,058874";"9,937133";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257480";"Q";"de:01004:66214::1";"de:01004:66214";"Neumünster Tonderner Straße";"54,058833";"9,936771";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257481";"Q";"de:01004:66214::2";"de:01004:66214";"Neumünster Tonderner Straße";"54,058801";"9,937048";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257482";"S";"de:01004:66215";"de:01004:66215";"Neumünster Tungendorf-Dorf";"54,099581";"10,013782";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257483";"Q";"de:01004:66215::1";"de:01004:66215";"Neumünster Tungendorf-Dorf";"54,099573";"10,012643";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257484";"Q";"de:01004:66215::2";"de:01004:66215";"Neumünster Tungendorf-Dorf";"54,099339";"10,016445";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257485";"Q";"de:01004:66215::3";"de:01004:66215";"Neumünster Tungendorf-Dorf";"54,099672";"10,012837";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257486";"S";"de:01004:66216";"de:01004:66216";"Neumünster Tunnel";"54,068253";"9,973356";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257487";"Q";"de:01004:66216::1";"de:01004:66216";"Neumünster Tunnel";"54,068361";"9,9737";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257488";"Q";"de:01004:66216::2";"de:01004:66216";"Neumünster Tunnel";"54,068058";"9,972898";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257489";"S";"de:01004:66217";"de:01004:66217";"Neumünster Ulmenweg";"54,095782";"9,964486";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257490";"Q";"de:01004:66217::1";"de:01004:66217";"Neumünster Ulmenweg";"54,095941";"9,964253";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257491";"Q";"de:01004:66217::2";"de:01004:66217";"Neumünster Ulmenweg";"54,095757";"9,964642";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257492";"S";"de:01004:66218";"de:01004:66218";"Neumünster Urquell";"54,064324";"9,949093";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257493";"Q";"de:01004:66218::1";"de:01004:66218";"Neumünster Urquell";"54,064278";"9,949071";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257494";"Q";"de:01004:66218::2";"de:01004:66218";"Neumünster Urquell";"54,064245";"9,948487";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257495";"S";"de:01004:66219";"de:01004:66219";"Neumünster Veit-Stoß-Ring";"54,069117";"10,014582";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257496";"Q";"de:01004:66219::1";"de:01004:66219";"Neumünster Veit-Stoß-Ring";"54,069246";"10,017747";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257497";"Q";"de:01004:66219::2";"de:01004:66219";"Neumünster Veit-Stoß-Ring";"54,068721";"10,017705";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
