timestamp;area;sensor;value
01.02.2023 03:06:45;Marktplatz - Autos;count;0.0
01.02.2023 03:07:49;Marktplatz - Autos;count;0.0
01.02.2023 03:08:51;Marktplatz - Autos;count;0.0
01.02.2023 03:11:59;Marktplatz - Autos;count;0.0
01.02.2023 03:13:17;Marktplatz - Autos;count;0.0
01.02.2023 03:14:04;Marktplatz - Autos;count;0.0
01.02.2023 03:15:07;Marktplatz - Autos;count;4.0
01.02.2023 03:16:25;Marktplatz - Autos;count;4.0
01.02.2023 03:19:34;Marktplatz - Autos;count;4.0
01.02.2023 03:20:20;Marktplatz - Autos;count;4.0
01.02.2023 03:21:38;Marktplatz - Autos;count;4.0
01.02.2023 03:24:48;Marktplatz - Autos;count;5.0
01.02.2023 03:27:40;Marktplatz - Autos;count;5.0
01.02.2023 03:28:42;Marktplatz - Autos;count;5.0
01.02.2023 03:29:45;Marktplatz - Autos;count;5.0
01.02.2023 03:30:47;Marktplatz - Autos;count;7.0
01.02.2023 03:32:53;Marktplatz - Autos;count;6.0
01.02.2023 03:37:18;Marktplatz - Autos;count;6.0
01.02.2023 03:38:22;Marktplatz - Autos;count;6.0
01.02.2023 03:39:08;Marktplatz - Autos;count;4.0
01.02.2023 03:40:11;Marktplatz - Autos;count;1.0
01.02.2023 03:41:14;Marktplatz - Autos;count;1.0
01.02.2023 03:47:29;Marktplatz - Autos;count;1.0
01.02.2023 03:48:32;Marktplatz - Autos;count;0.0
01.02.2023 03:49:36;Marktplatz - Autos;count;0.0
01.02.2023 03:52:58;Marktplatz - Autos;count;0.0
01.02.2023 03:54:49;Marktplatz - Autos;count;0.0
01.02.2023 03:55:51;Marktplatz - Autos;count;0.0
01.02.2023 03:56:54;Marktplatz - Autos;count;0.0
01.02.2023 03:57:57;Marktplatz - Autos;count;0.0
01.02.2023 03:58:59;Marktplatz - Autos;count;0.0
01.02.2023 04:01:05;Marktplatz - Autos;count;0.0
01.02.2023 04:02:07;Marktplatz - Autos;count;0.0
01.02.2023 04:04:12;Marktplatz - Autos;count;0.0
01.02.2023 04:05:15;Marktplatz - Autos;count;0.0
01.02.2023 04:07:20;Marktplatz - Autos;count;0.0
01.02.2023 04:10:28;Marktplatz - Autos;count;0.0
01.02.2023 04:11:31;Marktplatz - Autos;count;0.0
01.02.2023 04:12:48;Marktplatz - Autos;count;0.0
01.02.2023 04:14:39;Marktplatz - Autos;count;0.0
01.02.2023 04:16:44;Marktplatz - Autos;count;0.0
01.02.2023 04:17:47;Marktplatz - Autos;count;0.0
01.02.2023 04:20:54;Marktplatz - Autos;count;0.0
01.02.2023 04:21:57;Marktplatz - Autos;count;1.0
01.02.2023 04:23:00;Marktplatz - Autos;count;1.0
01.02.2023 04:24:02;Marktplatz - Autos;count;2.0
01.02.2023 04:28:29;Marktplatz - Autos;count;2.0
01.02.2023 04:29:15;Marktplatz - Autos;count;2.0
01.02.2023 04:30:18;Marktplatz - Autos;count;2.0
01.02.2023 04:31:21;Marktplatz - Autos;count;2.0
01.02.2023 04:32:23;Marktplatz - Autos;count;2.0
01.02.2023 04:35:31;Marktplatz - Autos;count;2.0
01.02.2023 04:38:39;Marktplatz - Autos;count;4.0
01.02.2023 04:39:58;Marktplatz - Autos;count;4.0
01.02.2023 04:40:44;Marktplatz - Autos;count;4.0
01.02.2023 04:44:55;Marktplatz - Autos;count;4.0
01.02.2023 04:45:57;Marktplatz - Autos;count;6.0
