"datum","gemeldete_faelle","hospitalisierungen","verstorben"
"21.06.2022","5.970","56","3"
"20.06.2022","5.692","62","2"
"19.06.2022","937","14","0"
"18.06.2022","1.040","17","1"
"17.06.2022","3.724","38","6"
"16.06.2022","3.713","34","1"
"15.06.2022","4.457","31","2"
"14.06.2022","4.900","64","3"
"13.06.2022","4.650","37","1"
"12.06.2022","733","7","0"
"11.06.2022","839","17","1"
"10.06.2022","3.183","26","0"
"09.06.2022","3.392","30","1"
"08.06.2022","5.092","34","3"
"07.06.2022","4.071","40","1"
"06.06.2022","671","10","1"
"05.06.2022","485","9","2"
"04.06.2022","732","12","0"
"03.06.2022","1.767","18","2"
"02.06.2022","2.499","28","0"
"01.06.2022","2.605","21","2"
"31.05.2022","2.903","30","3"
"30.05.2022","3.184","25","3"
"29.05.2022","463","5","0"
"28.05.2022","379","9","0"
"27.05.2022","2.078","13","1"
"26.05.2022","384","9","0"
"25.05.2022","2.058","25","4"
"24.05.2022","2.372","31","2"
"23.05.2022","2.982","40","4"
"22.05.2022","498","10","1"
"21.05.2022","355","7","2"
"20.05.2022","2.314","20","2"
"19.05.2022","2.352","25","2"
"18.05.2022","2.867","22","2"
"17.05.2022","3.121","19","1"
"16.05.2022","4.509","33","3"
"15.05.2022","373","5","0"
"14.05.2022","535","6","1"
"13.05.2022","2.985","25","1"
"12.05.2022","2.885","31","2"
"11.05.2022","3.536","30","3"
"10.05.2022","5.000","45","10"
"09.05.2022","5.151","61","5"
"08.05.2022","572","4","0"
"07.05.2022","1.016","5","1"
"06.05.2022","3.626","29","2"
"05.05.2022","3.785","24","1"
"04.05.2022","4.597","24","4"
"03.05.2022","5.632","37","2"
"02.05.2022","5.805","49","3"
"01.05.2022","622","4","0"
"30.04.2022","1.457","5","2"
"29.04.2022","3.749","26","2"
"28.04.2022","4.874","33","1"
"27.04.2022","5.350","37","1"
"26.04.2022","6.864","56","5"
"25.04.2022","7.616","64","9"
"24.04.2022","832","6","0"
"23.04.2022","1.908","16","3"
"22.04.2022","5.726","49","5"
"21.04.2022","7.826","61","1"
"20.04.2022","9.649","114","10"
"19.04.2022","10.252","73","6"
"18.04.2022","1.462","12","3"
"17.04.2022","1.268","10","3"
"16.04.2022","1.142","7","0"
"15.04.2022","1.940","17","2"
"14.04.2022","6.798","57","7"
"13.04.2022","6.179","62","6"
"12.04.2022","6.830","66","8"
"11.04.2022","7.090","68","8"
"10.04.2022","1.201","8","1"
"09.04.2022","2.615","21","3"
"08.04.2022","5.461","60","9"
"07.04.2022","6.014","68","9"
"06.04.2022","6.133","70","12"
"05.04.2022","7.383","87","4"
"04.04.2022","6.403","71","8"
"03.04.2022","1.598","19","3"
"02.04.2022","2.258","11","1"
"01.04.2022","5.727","62","9"
"31.03.2022","7.281","60","6"
"30.03.2022","8.959","60","6"
"29.03.2022","9.436","81","7"
"28.03.2022","7.521","93","11"
"27.03.2022","1.851","18","3"
"26.03.2022","3.877","27","4"
"25.03.2022","7.372","67","5"
"24.03.2022","8.468","59","7"
"23.03.2022","8.681","68","4"
"22.03.2022","10.498","98","8"
"21.03.2022","7.604","78","8"
"20.03.2022","3.111","22","1"
"19.03.2022","4.183","22","5"
"18.03.2022","7.875","54","5"
"17.03.2022","8.588","58","13"
"16.03.2022","8.908","69","10"
"15.03.2022","9.440","82","8"
"14.03.2022","7.015","71","4"
"13.03.2022","2.498","15","1"
"12.03.2022","3.811","23","3"
"11.03.2022","6.972","34","9"
"10.03.2022","6.847","56","7"
"09.03.2022","7.110","60","7"
"08.03.2022","6.896","57","7"
"07.03.2022","6.607","50","14"
"06.03.2022","620","21","3"
"05.03.2022","1.617","12","0"
"04.03.2022","4.805","49","10"
"03.03.2022","4.725","40","3"
"02.03.2022","5.670","39","11"
"01.03.2022","6.225","54","5"
"28.02.2022","5.236","46","4"
"27.02.2022","716","14","3"
"26.02.2022","1.558","29","3"
"25.02.2022","4.068","41","6"
"24.02.2022","4.623","52","13"
"23.02.2022","4.801","46","9"
"22.02.2022","5.717","49","8"
"21.02.2022","3.677","53","9"
"20.02.2022","1.163","8","2"
"19.02.2022","2.270","21","3"
"18.02.2022","3.593","55","12"
"17.02.2022","3.947","47","4"
"16.02.2022","4.077","50","7"
"15.02.2022","4.669","59","4"
"14.02.2022","3.257","52","10"
"13.02.2022","1.222","10","2"
"12.02.2022","1.932","12","3"
"11.02.2022","3.237","39","3"
"10.02.2022","3.963","46","7"
"09.02.2022","4.248","42","9"
"08.02.2022","5.056","68","13"
"07.02.2022","3.409","55","12"
"06.02.2022","1.248","14","2"
"05.02.2022","2.334","30","4"
"04.02.2022","4.191","45","6"
"03.02.2022","5.244","52","7"
"02.02.2022","5.005","47","6"
"01.02.2022","4.872","64","9"
"31.01.2022","3.646","53","6"
"30.01.2022","1.548","9","3"
"29.01.2022","2.906","17","2"
"28.01.2022","4.004","30","4"
"27.01.2022","4.961","54","4"
"26.01.2022","4.926","55","9"
"25.01.2022","5.867","61","7"
"24.01.2022","4.287","64","9"
"23.01.2022","2.709","20","1"
"22.01.2022","2.855","25","5"
"21.01.2022","4.848","50","5"
"20.01.2022","5.015","62","8"
"19.01.2022","4.608","53","7"
"18.01.2022","5.290","55","1"
"17.01.2022","3.277","48","4"
"16.01.2022","1.998","21","0"
"15.01.2022","2.530","27","6"
"14.01.2022","3.529","52","7"
"13.01.2022","3.899","53","5"
"12.01.2022","3.337","31","4"
"11.01.2022","4.021","39","7"
"10.01.2022","2.743","42","6"
"09.01.2022","1.245","15","2"
"08.01.2022","1.351","16","2"
"07.01.2022","3.416","33","2"
"06.01.2022","3.863","45","3"
"05.01.2022","3.062","30","4"
"04.01.2022","2.861","40","5"
"03.01.2022","1.839","41","2"
"02.01.2022","981","24","4"
"01.01.2022","954","18","1"
